id,title,author,rd,ca,cs,img,created_at,updated_at,size,app_type
34,Test Drive Unlimited Solar Crown,KT Racing | Nacon,2023-08-31,None,0,https://cdn.akamai.steamstatic.com/steam/apps/1249970/header.jpg?t=1657217410,,,0,0
35,Test Drive: Ferrari Racing Legends,Slightly Mad Studios | Evolved Games,2012-12-10,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/211970/header.jpg?t=1447355830,,,6,0
36,DiRT Rally 2.0,Codemasters | Electronic Arts,2019-02-26,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/690790/header.jpg?t=1626343640,,,100,0
37,DiRT 5,Codemasters | Electronic Arts,2020-11-05,Razor1911,1,https://cdn.akamai.steamstatic.com/steam/apps/1038250/header.jpg?t=1663755334,,,60,0
38,DiRT 4,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux) | Electronic Arts",2017-06-09,Reloaded,1,https://cdn.akamai.steamstatic.com/steam/apps/421020/header.jpg?t=1667844319,,,39,0
39,DiRT Rally,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux) | Electronic Arts",2015-12-07,Reloaded,1,https://cdn.akamai.steamstatic.com/steam/apps/310560/header.jpg?t=1667844327,,,42,0
40,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes",2013-03-05,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/203160/header.jpg?t=1675712321,,,12,0
41,Tomb Raider Legend,Crystal Dynamics ,2006-04-07,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/7000/header.jpg?t=1675709707,,,9.9,0
42,Tomb Raider Anniversary,Crystal Dynamics,2007-06-05,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/8000/header.jpg?t=1675711411,,,4,0
43,Tomb Raider Underworld,Crystal Dynamics,2008-11-21,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/8140/header.jpg?t=1675708248,,,8,0
44,Rise of the Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes",2016-02-09,CPY,1,https://cdn.akamai.steamstatic.com/steam/apps/391220/header.jpg?t=1675709098,,,28,0
45,Tomb Raider Chronicles,Core Design | Crystal Dynamics,1999-11-24,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/225000/header.jpg?t=1675711118,,,2,0
46,Shadow Of The Tomb Raider,"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",2018-08-14,CPY,1,https://cdn.akamai.steamstatic.com/steam/apps/750920/header.jpg?t=1675711680,,,40,0
47,Tomb Raider The Last Revelation,Core Design | Crystal Dynamics,1999-11-24,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/224980/header.jpg?t=1675708622,,,2,0
48,Tomb Raider The Angel Of Darkness,Core Design | Crystal Dynamics,2003-06-20,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/225020/header.jpg?t=1675712203,,,2,0
49,DEAD OR ALIVE 5 Last Round,"Team NINJA | KOEI TECMO GAMES CO., LTD.",2015-03-30,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/311730/header.jpg?t=1673501804,,,10,0
50,DEAD OR ALIVE 6,"KOEI TECMO GAMES CO., LTD.",2019-03-01,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/838380/header.jpg?t=1659084195,,,50,0
51,Mortal Kombat 11,"NetherRealm Studios, QLOC, Shiver | Warner Bros. Games",2019-04-23,Empress,1,https://cdn.akamai.steamstatic.com/steam/apps/976310/header.jpg?t=1654216426,,,103,0
52,Mortal Kombat X,"NetherRealm Studios, QLOC | Warner Bros. Interactive Entertainment",2015-04-14,Reloaded,1,https://cdn.akamai.steamstatic.com/steam/apps/307780/header.jpg?t=1588110604,,,36,0
53,Mortal Kombat Komplete Edition,"NetherRealm Studios, High Voltage Software | Warner Bros. Interactive Entertainment",2013-07-03,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/237110/header.jpg?t=1584723816,,,10,0
54,Garry’s Mod,Facepunch Studios | Valve,2006-11-29,Revolution,1,https://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1663621793,,,5,0
55,Fallout 4,Bethesda Game Studios,2015-11-10,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928,,,30,0
56,Fallout New Vegas,Obsidian Entertainment | Bethesda Softworks,2010-10-22,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/22490/header.jpg?t=1497935499,,,10,0
57,Fallout 3,Bethesda Game Studios,2008-10-28,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/22300/header.jpg?t=1665072658,,,7,0
58,Fallout 2,Black Isle Studios | Bethesda Softworks,1998-12-01,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/38410/header.jpg?t=1572025546,,,0.56,0
59,Fallout,Interplay Inc. | Bethesda Softworks,1997-09-30,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/38400/header.jpg?t=1572025441,,,0.56,0
60,Fallout 76,Bethesda Game Studios,2020-04-14,DRM FREE (GOG VERSION),1,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg?t=1677608851,,,80,0
61,Total War: WARHAMMER III,"CREATIVE ASSEMBLY, Feral Interactive | SEGA",2022-02-17,None,0,https://cdn.akamai.steamstatic.com/steam/apps/1142710/header.jpg?t=1678810094,,,125,0
62,Total War: WARHAMMER,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac) | Sega",2016-05-24,Steampunks,1,https://cdn.akamai.steamstatic.com/steam/apps/364360/header.jpg?t=1668768531,,,29,0
63,Total War: WARHAMMER II,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux) | Sega",2017-09-28,Voksi,1,https://cdn.akamai.steamstatic.com/steam/apps/594570/header.jpg?t=1668768624,,,60,0
64,Total War: THREE KINGDOMS,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux) | Sega",2019-05-23,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/779340/header.jpg?t=1668768473,,,60,0
65,Total War: SHOGUN 2,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux) | Sega",2011-05-15,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/201270/header.jpg?t=1603131194,,,26,0
66,Total War: ATTILA,CREATIVE ASSEMBLY | SEGA,2015-02-17,Symetryczny,1,https://cdn.akamai.steamstatic.com/steam/apps/325610/header.jpg?t=1668768145,,,35,0
67,Total War: ROME REMASTERED,"CREATIVE ASSEMBLY, Feral Interactive | SEGA",2021-04-29,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/885970/header.jpg?t=1622505859,,,45,0
68,Total War: ROME II,CREATIVE ASSEMBLY | SEGA,2013-09-02,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/214950/header.jpg?t=1668768679,,,35,0
69,Total War: MEDIEVAL II,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux) | Sega",2006-11-15,TNT Village,1,https://cdn.akamai.steamstatic.com/steam/apps/4700/header.jpg?t=1668768196,,,11,0
70,A Total War Saga: TROY,"CREATIVE ASSEMBLY, Feral Interactive (Mac) | SEGA",2021-09-02,CPY,1,https://cdn.akamai.steamstatic.com/steam/apps/1099410/header.jpg?t=1655289261,,,26,0
71,Total War: EMPIRE,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux) | Sega",2009-03-04,Razor1911,1,https://cdn.akamai.steamstatic.com/steam/apps/10500/header.jpg?t=1668768302,,,18,0
72,Total War: NAPOLEON,"CREATIVE ASSEMBLY, Feral Interactive (Mac) | SEGA",2010-02-25,Razor1911,1,https://cdn.akamai.steamstatic.com/steam/apps/34030/header.jpg?t=1668768417,,,21,0
